10,"10년이 지나도 잊혀지지 않는 명작..공포영화는 못보지만 유일하게 이것만은 본..귀신나오는 장면은 아직도 무섭지만, 전체적으로 무서움보다 슬프고 아름다움의 비중이 더 큰 영화란 생각이 든다 여튼 여운도 길었고..정말..."
10,김갑수 염정아 문근영 임수정 최고의 연기자들의 모임이런 한국공포영화가 다시 나올수 있을까?
10,마지막 '돌이킬 수 없는 걸음'이 나올 때 휘몰아치는 여운은 정말 최고였다
10,염정아 연기 개잘함 !!
10,김지운은 음악을 잘고르는듯달콤한인생도 그렇고 음악이 정말...선호하는 음향감독이라도 따로있나?
10,결국 애초에 아부지가 문제야...
10,영화가 끝나고 나서도 한참동안 여운을 주는 완성도 높은작품이다. 배경음악과 세련된 영상과의 조화가 인상깊다. 또한 내용면에서도 다른 공포영화와는 구별되는데?이 영화는 약간 절제된 듯 공포감을 느끼게 했다. 국내 공포...
10,목이 안날라가고 피가 안튀기더라도내 심장을 쪼그라들게 만드는 우아한 공포물
10,수미가 뒤돌아 갈대밭을 걸어가는 씬은 마치 사진처럼 남아있다.
10,우리나라 영화중 이만한 반전영화는 없다 생각함
10,"하나 둘씩 이해하면 할수록 더없이 슬퍼지는 영화. 영화속 적막함, 어두움, 원귀, 공포등이 결국 결말엔 모두 슬픔의 파도로 밀려왔다"
9,컨저링 보다 더 무서운 영화임
10,"한국산 공포 스릴러 수작 중 몇 안되는 작품. 특히나 영상과 효과음이 긴장감을 배가시키고, 돌이 킬 수 없는 걸음이라는 배경음악은 영화가 끝나고도 계속 귓가에 맴돈다."
10,동생을 지키지 못했다는 죄책감 때문에 스스로를 아프게 할 수밖에 없었던 수연이를 보자니 너무 가슴이 쓰렸다. 정말 슬프고 아름다웠던 영화. 엔딩에 '돌이킬 수 없는 걸음'이 나올 땐 여운이 휘몰아쳤다....
9,12세 관람가로 이정도 공포영화 만들 수 있는 감독 지금도 거의 없다 봐도 된다. 공포영화 흥행기록 314만? 아직도 안깨진 걸로 앎. 이와 별개로 OST 돌이킬 수 없는 걸음은 영화와 역대급 케미 터짐. 진짜 개좋...
9,염정아의 연기력이 이 정도일줄이야..
10,"그때 영화를 보고 난후, 한국에도 이런 영화가 가능하구나... 하고 한동안 말문이 막혀있었다."
10,미장센 폭발... ost 폭발... 공포영화로서도 겁나 무섭고 여운이 많이 남음... 마지막 장면에선 남아있는 긴장감과 슬픔과 ost에 카타르시스가 일었다.
8,"품격 있게 공포스럽고, 매혹적으로 고어스럽다."
10,"10년이 지났지만 여전히 내 평생 최고의 한국 공포 영화로 남아있음. 영상, 스토리, 배우들의 연기, 음악. 무엇 하나 허술한게 없음."
10,돌이킬수 없는걸음
10,중학생 당시 봤을땐 몰랐는데 지나서 생각해보니 엄청난 명작...
10,공포찾는 애들은 내용없고 귀신만 튀어나오는 링이나 주온같은거 봐라. 난 10년 지난 지금도 임수정이 갈대숲 걸어가는 마지막장면이 잊혀지지 않는다. 내용은 비록 예상가능 하지만 김지운 특유의 무거운 분위기에 압도된 영...
9,영화를 보면서 무언가에 홀린듯한 느낌을 받았다. 영화의 배경이나 장소 그리고 연출하는 장면까지 한국공포영화에 한획을 그은거 같다. 특히 싱크대 귀신은 심장이 멎는다. 그 장면 본 이후로 몇일간 침대 구석의 빈 공간이...
10,"공포영화를 고를 때 기준이 되어버린 영화. 공포영화를 잘 못 보는데 이 영화는 영화관에서 세번이나 봤다. 공포와 스토리와 연출, 연기자들의 연기가 아직도 머릿속에 생생하다."
8,우아하고  처연하고 그래서 아름다운 공포영화
10,잔인하거나 그로테스크한 공포음을 넣지 않아도 관객 스스로가 공포의 늪속으로 빠져들게 만드는 영화
9,김지운을 사랑하기 시작 하다
10,명품 공포영화..이만한게 있을까....가슴 저미던 그 ost 까지도...
10,가장 좋아하는 공포영화
10,중2때 영화관에서 처음 봤었을때 잘 이해가 안됬던 부분들을 지금 다시 보니깐 진짜 감탄이 나올정도. 귀신으로 공포감을 조성하는 영화들과는 차원이 다름. 임수정이 갈대밭 걸어가는 엔딩장면은 정말이지 여태 본 수 많은 ...
9,단언하는데 국내 공포물중 이 이상의 영화는 없다.
10,최고의 영화.  엔틱한 배경도 너무 이쁘고. 집 인테리어서부터 소품하나하나까지 너무 예뻤다. 엔딩에 나오는 돌이킬수 걸음.ost가 더 가슴이 아프게 들린다 ㅠ 배우들의 자연스러운 연기가 돋보였던 영화.10년이 지난 ...
10,우리 나라 에서는 진짜 최고로 잘 만든 공포 영화 인 듯 하다.
10,알포인트와 함께 재밌게 봣던 영화
10,어릴때 볼땐 공포영화인 줄 알았는데 오랜시간이 지나서 다시보니 공포영화인 척하는 슬픈 감성영화 ㅠㅠ ost도 짱
10,마지막에 임수정이 뒤를 돌아보는 장면에서 나오는 ost제목이 돌이킬 수 없는 걸음.... 소름이 돋았다.
9,어느 가족의 슬픈 잔혹사
10,너무 가엾은 공포영화
10,슬프고 애처러운 핏빛이야기.
9,스토리에 놀라고 브금으로 쐐기포
10,굉장한 영화. 개인적으론 김지운 감독 영화인생중 가장 잘 만든 영화같다...  너무나도 아름답고 슬픈 영화. 강가에 앉은 수연와 수미의 모습은 잊을 수 가 없다
10,솔직히 막 귀신만 튀어나오고 그런 영화보단 이렇게 스토리가 있어야 영화지 그리고 지금에서야 이런 스토리가 흔해져서 진부하다고 느껴질수 있지만 2003년 당시엔 진짜 컬쳐쇼크급이었던 반전임
10,한국 역대 공포영화 흥행 1위에 우리나라에서 이정도 공포영화가 10년이 지난 지금도 나오지 않았음. 앞으로도 나오기 힘들듯. 김갑수 문근영 염정아 임수정 김지운 5명이 해냈다
10,영상미도 배우도 연출도 스토리도 완벽한 한국공포영화 최고의 명작
10,이 정도는 돼야 공포 영화다.
10,최근 십수년의 한국영화중에서  이보다 잘 만든 공포영화는 없다
10,최고의 한국 공포영화
10,10년이 지나도 가장 기억에 남는 공포영화
10,한국은 제대로된공포영화가거의없는데 이건 그중에서 보관해야할 명작
10,개봉한지11년이지났어도 전혀촌스럽거나 어색한것없는영화.대한민국 공포영화의 가능성을볼수있음. 생각없이보면 생각없이끝나니 두세번은보셔야해요
10,중학생때 이 영화를 영화관에서 봤고 생애처음 영화관에서 공포영화를 본거였는데.진짜 훌륭한 선택이였다는.다시 보고싶은데.ㅜㅜㅜ겁이 많아서 못봄.ㅜㅜㅜ진심..싱크대부분 ㅜㅜ무서움.
10,공포 스릴러라고 하기엔 너무 슬프다.. 염정아의 빛나는 연기와 외모. 임수정한테는 다시 반한다
9,그야말로 아름다운 영화. '돌이킬 수 없는 걸음'은 한국영화 사상 가장 처절하고 아름다운 영화음악이었다.
9,난 아빠역활을 한 남자가 젤 쑤랙이네... 저남자땜에 여자4명이 다망해버렸어 ㅋㅋㅋ
9,“너 진짜 무서운게 뭔지 알아? 뭔가 잊고싶은게 있는데 깨끗하게 지워버리고 싶은게 있는데 도저히 잊지도 못하고 지워지지도 않는거 있지. 근데 그게 평생 붙어다녀. 유령처럼.” 대사에서 전해지는 진짜 공포.
10,2003년은 모든 영화보는사람들이 돌아가고싶은 해가 아닐까라고 생각된다...
10,하나부터 열까지 다 완벽한 영화.. 이렇게 슬픈 공포영화는 처음인거 같다. 자기 부인이랑 막내딸이 죽은 곳인데 다시 돌아오다니.. 역겹다 아부지란 존재.
10,마지막 엔딩올라갈때 수미가 호숫가에 혼자 앉아있는장면은 언제봐도 너무나 슬프다.
